args,full_path,created,json,cookies,url,headers,method,remote_addr,files,form,id,provider,ip,requesting_ip,gn_classification
{},/?,2023-04-19 14:16:51.204528+00:00,{},{},http://44.202.14.136/,"{'X-Datadog-Sampling-Priority': '1', 'Accept': '*/*', 'X-Datadog-Parent-Id': '12142585871877645194', 'X-Forwarded-Proto': 'http', 'Connection': 'close', 'User-Agent': 'python-requests/2.28.2', 'X-Datadog-Trace-Id': '7673070451288117309', 'X-Forwarded-For': '35.241.185.104', 'Host': '44.202.14.136', 'Accept-Encoding': 'gzip, deflate', 'X-Real-Ip': '35.241.185.104'}",GET,,{},{},add0b454-155e-4750-a9e4-be5b27321078,AWS,,35.241.185.104,malicious
{},/.env?,2023-04-12 17:51:42.734559+00:00,{},{},http://3.86.163.161/.env,"{'Accept': '*/*', 'X-Forwarded-Proto': 'http', 'Connection': 'close', 'User-Agent': 'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36', 'X-Forwarded-For': '135.125.246.110', 'Host': '3.86.163.161', 'Accept-Encoding': 'gzip, deflate', 'X-Real-Ip': '135.125.246.110'}",GET,,{},{},f88aa651-b442-4ef3-9e2d-d40bfb55cb59,AWS,,135.125.246.110,unknown
{},/?,2023-04-17 12:56:16.788333+00:00,{},{},http://20.169.235.110/,"{'X-Forwarded-Proto': 'http', 'Connection': 'close', 'User-Agent': 'Hello World', 'X-Forwarded-For': '179.43.177.243', 'Host': '20.169.235.110:80', 'X-Real-Ip': '179.43.177.243'}",GET,,{},{},9fc71feb-69e4-46a0-a7df-8b1b1ada74e1,Azure,20.169.235.110,179.43.177.243,malicious
{},/?,2023-04-16 18:19:10.947686+00:00,{},{},http://20.169.235.110/,"{'X-Forwarded-Proto': 'http', 'Connection': 'close', 'User-Agent': 'Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/601.7.7 (KHTML, like Gecko) Version/9.1.2 Safari/601.7.7', 'X-Forwarded-For': '181.115.209.180', 'Host': '20.169.235.110:80', 'Content-Length': '0', 'X-Real-Ip': '181.115.209.180'}",GET,,{},{},4e2ac8a5-25d9-4dbb-9544-bc0b0d77dd6d,Azure,20.169.235.110,181.115.209.180,malicious
{},/favicon.ico?,2023-04-20 20:37:59.925375+00:00,{},{},http://35.202.218.25/favicon.ico,"{'X-Forwarded-Proto': 'http', 'Connection': 'close', 'User-Agent': 'Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)', 'X-Forwarded-For': '162.142.125.224', 'Host': '35.202.218.25', 'Accept-Encoding': 'gzip', 'X-Real-Ip': '162.142.125.224'}",GET,,{},{},9c337b6f-1341-4b88-bc84-6eab8f8ee494,GCP,,162.142.125.224,benign
{},/?,2023-04-17 21:21:13.738227+00:00,{},{},http://20.169.235.233/,"{'Accept': 'text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8', 'Upgrade-Insecure-Requests': '1', 'X-Forwarded-Proto': 'http', 'Connection': 'close', 'User-Agent': 'Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:77.0) Gecko/20100101 Firefox/77.0', 'Referer': 'http://20.169.235.233:80/left.html', 'X-Forwarded-For': '45.88.66.237', 'Host': '20.169.235.233:80', 'Accept-Language': 'en-GB,en;q=0.5', 'Accept-Encoding': 'gzip, deflate', 'X-Real-Ip': '45.88.66.237'}",GET,,{},{},560ba0cc-311d-4e1b-8355-d833fc199c35,Azure,20.169.235.233,45.88.66.237,malicious
{},/?,2023-04-19 05:28:25.824864+00:00,{},{},http://20.169.236.160/,"{'X-Forwarded-Proto': 'http', 'Connection': 'close', 'User-Agent': 'Hello World', 'X-Forwarded-For': '179.43.177.243', 'Host': '20.169.236.160:80', 'X-Real-Ip': '179.43.177.243'}",GET,,{},{},e05aa10f-3915-445c-bb7d-ebb9678adfcf,Azure,20.169.236.160,179.43.177.243,malicious
{},/.env?,2023-04-15 23:09:57.207717+00:00,{},{},http://3.86.163.161/.env,"{'Accept': '*/*', 'X-Forwarded-Proto': 'http', 'Connection': 'close', 'User-Agent': 'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36', 'X-Forwarded-For': '135.125.246.189', 'Host': '3.86.163.161', 'Accept-Encoding': 'gzip, deflate', 'X-Real-Ip': '135.125.246.189'}",GET,,{},{},7f3555b9-f17f-44b1-8468-fe90c90fdd56,AWS,,135.125.246.189,unknown
{},/.env?,2023-04-17 22:50:57.194185+00:00,{},{},http://20.121.184.210/.env,"{'Accept': '*/*', 'X-Forwarded-Proto': 'http', 'Connection': 'close', 'User-Agent': 'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36', 'X-Forwarded-For': '51.79.29.48', 'Host': '20.121.184.210', 'Accept-Encoding': 'gzip, deflate', 'X-Real-Ip': '51.79.29.48'}",GET,,{},{},193bcb49-eec2-4911-bd0c-af3f38c76118,Azure,,51.79.29.48,unknown
{},/config.json?,2023-04-08 03:43:35.173599+00:00,{},{},http://44.203.150.1/config.json,"{'Accept': '*/*', 'X-Forwarded-Proto': 'http', 'Connection': 'close', 'User-Agent': 'python-requests/2.28.1', 'X-Forwarded-For': '185.225.74.198', 'Host': '44.203.150.1', 'Accept-Encoding': 'gzip, deflate', 'X-Real-Ip': '185.225.74.198'}",GET,,{},{},94c8edda-0c89-4c9b-9258-d55c860316cf,AWS,,185.225.74.198,unknown
{},/?,2023-04-21 13:44:28.935897+00:00,{},{},http://20.169.236.160/,"{'X-Forwarded-Proto': 'http', 'Connection': 'close', 'X-Forwarded-For': '150.129.136.33', 'Host': '20.169.236.160:80', 'Accept': '*/*', 'X-Real-Ip': '150.129.136.33'}",GET,,{},{},f27d1d4f-e7fa-4208-af32-a5349d2dfdab,Azure,20.169.236.160,150.129.136.33,malicious
